year,city,country,avg_temp,ten_y_ma
1849,San Francisco,United States,14.12,
1850,San Francisco,United States,13.8,
1851,San Francisco,United States,14.39,
1852,San Francisco,United States,13.81,
1853,San Francisco,United States,14.4,
1854,San Francisco,United States,13.98,
1855,San Francisco,United States,14.2,
1856,San Francisco,United States,14.1,
1857,San Francisco,United States,14.78,
1858,San Francisco,United States,14.19,14.177
1859,San Francisco,United States,13.71,14.136
1860,San Francisco,United States,13.81,14.137
1861,San Francisco,United States,14.88,14.186
1862,San Francisco,United States,14.43,14.248
1863,San Francisco,United States,14.43,14.251
1864,San Francisco,United States,15.18,14.371
1865,San Francisco,United States,14.32,14.383
1866,San Francisco,United States,14.67,14.44
1867,San Francisco,United States,14.46,14.408
1868,San Francisco,United States,14.25,14.414
1869,San Francisco,United States,14.57,14.5
1870,San Francisco,United States,14.19,14.538
1871,San Francisco,United States,14.34,14.484
1872,San Francisco,United States,14.63,14.504
1873,San Francisco,United States,14.46,14.507
1874,San Francisco,United States,14.09,14.398
1875,San Francisco,United States,14.76,14.442
1876,San Francisco,United States,14.44,14.419
1877,San Francisco,United States,15.03,14.476
1878,San Francisco,United States,14.37,14.488
1879,San Francisco,United States,14.2,14.451
1880,San Francisco,United States,13.22,14.354
1881,San Francisco,United States,14.39,14.359
1882,San Francisco,United States,13.58,14.254
1883,San Francisco,United States,13.93,14.201
1884,San Francisco,United States,14.05,14.197
1885,San Francisco,United States,15.05,14.226
1886,San Francisco,United States,14.58,14.24
1887,San Francisco,United States,14.38,14.175
1888,San Francisco,United States,14.7,14.208
1889,San Francisco,United States,14.81,14.269
1890,San Francisco,United States,14.05,14.352
1891,San Francisco,United States,14.46,14.359
1892,San Francisco,United States,14.05,14.406
1893,San Francisco,United States,13.4,14.353
1894,San Francisco,United States,13.8,14.328
1895,San Francisco,United States,13.95,14.218
1896,San Francisco,United States,14.22,14.182
1897,San Francisco,United States,13.81,14.125
1898,San Francisco,United States,13.77,14.032
1899,San Francisco,United States,14.04,13.955
1900,San Francisco,United States,14.64,14.014
1901,San Francisco,United States,14.34,14.002
1902,San Francisco,United States,14.07,14.004
1903,San Francisco,United States,14.12,14.076
1904,San Francisco,United States,14.5,14.146
1905,San Francisco,United States,14.39,14.19
1906,San Francisco,United States,14.81,14.249
1907,San Francisco,United States,14.34,14.302
1908,San Francisco,United States,14.01,14.326
1909,San Francisco,United States,14.05,14.327
1910,San Francisco,United States,14.17,14.28
1911,San Francisco,United States,13.46,14.192
1912,San Francisco,United States,13.95,14.18
1913,San Francisco,United States,14.38,14.206
1914,San Francisco,United States,14.33,14.189
1915,San Francisco,United States,14.3,14.18
1916,San Francisco,United States,13.61,14.06
1917,San Francisco,United States,14.06,14.032
1918,San Francisco,United States,14.14,14.045
1919,San Francisco,United States,13.6,14
1920,San Francisco,United States,13.72,13.955
1921,San Francisco,United States,14.24,14.033
1922,San Francisco,United States,13.61,13.999
1923,San Francisco,United States,14.13,13.974
1924,San Francisco,United States,14.1,13.951
1925,San Francisco,United States,14.34,13.955
1926,San Francisco,United States,15.14,14.108
1927,San Francisco,United States,14.24,14.126
1928,San Francisco,United States,14.32,14.144
1929,San Francisco,United States,14.25,14.209
1930,San Francisco,United States,14.25,14.262
1931,San Francisco,United States,14.93,14.331
1932,San Francisco,United States,14.24,14.394
1933,San Francisco,United States,13.93,14.374
1934,San Francisco,United States,15.31,14.495
1935,San Francisco,United States,14.12,14.473
1936,San Francisco,United States,15.13,14.472
1937,San Francisco,United States,14.36,14.484
1938,San Francisco,United States,14.35,14.487
1939,San Francisco,United States,14.81,14.543
1940,San Francisco,United States,15.12,14.63
1941,San Francisco,United States,14.98,14.635
1942,San Francisco,United States,14.2,14.631
1943,San Francisco,United States,14.72,14.71
1944,San Francisco,United States,14.17,14.596
1945,San Francisco,United States,14.41,14.625
1946,San Francisco,United States,13.83,14.495
1947,San Francisco,United States,14.51,14.51
1948,San Francisco,United States,13.65,14.44
1949,San Francisco,United States,13.9,14.349
1950,San Francisco,United States,14.66,14.303
1951,San Francisco,United States,14.06,14.211
1952,San Francisco,United States,14.11,14.202
1953,San Francisco,United States,14.42,14.172
1954,San Francisco,United States,14.18,14.173
1955,San Francisco,United States,13.74,14.106
1956,San Francisco,United States,14.08,14.131
1957,San Francisco,United States,14.59,14.139
1958,San Francisco,United States,15.41,14.315
1959,San Francisco,United States,15.39,14.464
1960,San Francisco,United States,14.59,14.457
1961,San Francisco,United States,14.65,14.516
1962,San Francisco,United States,14.22,14.527
1963,San Francisco,United States,14.19,14.504
1964,San Francisco,United States,14.24,14.51
1965,San Francisco,United States,14.14,14.55
1966,San Francisco,United States,14.74,14.616
1967,San Francisco,United States,14.5,14.607
1968,San Francisco,United States,14.66,14.532
1969,San Francisco,United States,14.51,14.444
1970,San Francisco,United States,14.76,14.461
1971,San Francisco,United States,13.89,14.385
1972,San Francisco,United States,14.25,14.388
1973,San Francisco,United States,14.58,14.427
1974,San Francisco,United States,14.41,14.444
1975,San Francisco,United States,13.82,14.412
1976,San Francisco,United States,14.72,14.41
1977,San Francisco,United States,14.63,14.423
1978,San Francisco,United States,14.96,14.453
1979,San Francisco,United States,14.99,14.501
1980,San Francisco,United States,14.74,14.499
1981,San Francisco,United States,15.22,14.632
1982,San Francisco,United States,14,14.607
1983,San Francisco,United States,15.07,14.656
1984,San Francisco,United States,14.97,14.712
1985,San Francisco,United States,14.23,14.753
1986,San Francisco,United States,15,14.781
1987,San Francisco,United States,14.95,14.813
1988,San Francisco,United States,15.08,14.825
1989,San Francisco,United States,14.45,14.771
1990,San Francisco,United States,14.73,14.77
1991,San Francisco,United States,14.5,14.698
1992,San Francisco,United States,15.53,14.851
1993,San Francisco,United States,14.97,14.841
1994,San Francisco,United States,14.21,14.765
1995,San Francisco,United States,15.31,14.873
1996,San Francisco,United States,15.56,14.929
1997,San Francisco,United States,15.75,15.009
1998,San Francisco,United States,14.38,14.939
1999,San Francisco,United States,14.41,14.935
2000,San Francisco,United States,15.02,14.964
2001,San Francisco,United States,15.25,15.039
2002,San Francisco,United States,15,14.986
2003,San Francisco,United States,15.43,15.032
2004,San Francisco,United States,15.37,15.148
2005,San Francisco,United States,15.17,15.134
2006,San Francisco,United States,15.02,15.08
2007,San Francisco,United States,14.94,14.999
2008,San Francisco,United States,15.05,15.066
2009,San Francisco,United States,15.02,15.127
2010,San Francisco,United States,14.67,15.092
2011,San Francisco,United States,14.5,15.017
2012,San Francisco,United States,15.05,15.022
2013,San Francisco,United States,16.23,15.102